t,MV,PV,DV
2.400000000000000000e+02,6.239631388739933016e+01,5.602499999999999858e+01,5.222299999999999898e+01
2.410000000000000000e+02,6.230703876241405226e+01,5.609000000000000341e+01,5.196500000000000341e+01
2.420000000000000000e+02,6.202293897542433143e+01,5.612199999999999989e+01,5.225500000000000256e+01
2.430000000000000000e+02,6.188866741590989307e+01,5.628300000000000125e+01,5.254500000000000171e+01
2.440000000000000000e+02,6.174505666566709294e+01,5.634799999999999898e+01,5.215800000000000125e+01
2.450000000000000000e+02,6.163645003442093184e+01,5.634799999999999898e+01,5.215800000000000125e+01
2.460000000000000000e+02,6.140912280027208681e+01,5.634799999999999898e+01,5.257699999999999818e+01
2.470000000000000000e+02,6.138903831195372618e+01,5.634799999999999898e+01,5.228699999999999903e+01
2.480000000000000000e+02,6.113269775997320465e+01,5.634799999999999898e+01,5.257699999999999818e+01
2.490000000000000000e+02,6.109343568490236720e+01,5.647699999999999676e+01,5.286699999999999733e+01
2.500000000000000000e+02,6.087208218774580359e+01,5.647699999999999676e+01,5.286699999999999733e+01
2.510000000000000000e+02,6.064833576165342777e+01,5.667000000000000171e+01,5.286699999999999733e+01
2.520000000000000000e+02,6.065405085352376346e+01,5.667000000000000171e+01,5.254500000000000171e+01
2.530000000000000000e+02,6.053464198684969233e+01,5.663799999999999812e+01,5.254500000000000171e+01
2.540000000000000000e+02,6.027347630478865170e+01,5.667000000000000171e+01,5.315699999999999648e+01
2.550000000000000000e+02,6.025075603880303277e+01,5.667000000000000171e+01,5.306099999999999994e+01
2.560000000000000000e+02,6.003536703395566576e+01,5.667000000000000171e+01,5.318900000000000006e+01
2.570000000000000000e+02,5.981749857597422704e+01,5.667000000000000171e+01,5.318900000000000006e+01
2.580000000000000000e+02,5.969651018921077679e+01,5.667000000000000171e+01,5.280299999999999727e+01
2.590000000000000000e+02,5.957730901334190321e+01,5.667000000000000171e+01,5.318900000000000006e+01
2.600000000000000000e+02,5.957010299644910845e+01,5.667000000000000171e+01,5.280299999999999727e+01
2.610000000000000000e+02,5.945895097470690871e+01,5.667000000000000171e+01,5.322200000000000131e+01
2.620000000000000000e+02,5.913983954071329663e+01,5.667000000000000171e+01,5.322200000000000131e+01
2.630000000000000000e+02,5.905596415447996606e+01,5.667000000000000171e+01,5.338300000000000267e+01
2.640000000000000000e+02,5.889849351526704879e+01,5.667000000000000171e+01,5.351200000000000045e+01
2.650000000000000000e+02,5.878468855969393303e+01,5.667000000000000171e+01,5.351200000000000045e+01
2.660000000000000000e+02,5.880471392987097090e+01,5.667000000000000171e+01,5.351200000000000045e+01
2.670000000000000000e+02,5.856756245590700161e+01,5.667000000000000171e+01,5.309300000000000352e+01
